1,Agriculture land
2,Assumed woodland
3,Bare area
4,Broadleaved
5,Cloud \ shadow
6,Conifer
7,Coppice
8,Coppice with standards
9,Failed
10,Felled
11,Grassland
12,Ground prep
13,IFT_IOA
14,Low density
15,Mixed mainly broadleaved
16,Mixed mainly conifer
17,Open water
18,Other vegetation
19,Power line
20,Quarry
21,River
22,Road
23,Shrub
24,Uncertain
25,Urban
26,Windfarm
27,Windthrow
28,Young trees
